Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH2 Voltage,CH2 Current
1,1,218,67.00000E+000,4.81900E-009,10.00040E-003,8.44338E-006
1,1,219,68.00000E+000,5.44700E-009,10.00050E-003,8.45897E-006
1,1,220,69.00000E+000,5.30300E-009,10.00030E-003,8.47282E-006
1,1,221,70.00000E+000,5.32200E-009,9.99970E-003,8.48421E-006
1,1,222,71.00000E+000,5.66200E-009,10.00040E-003,8.49523E-006
1,1,223,72.00000E+000,5.28500E-009,10.00030E-003,8.51088E-006
1,1,224,73.00000E+000,5.20900E-009,9.99950E-003,8.52471E-006
1,1,225,74.00000E+000,5.17100E-009,10.00000E-003,8.53982E-006
1,1,226,75.00000E+000,4.74000E-009,9.99960E-003,8.55002E-006
1,1,227,76.00000E+000,5.25300E-009,10.00100E-003,8.56147E-006
1,1,228,77.00000E+000,5.28100E-009,10.00060E-003,8.57205E-006
1,1,229,78.00000E+000,4.88100E-009,10.00040E-003,8.58617E-006
1,1,230,79.00000E+000,5.12000E-009,9.99870E-003,8.59895E-006
1,1,231,80.00000E+000,5.25600E-009,9.99990E-003,8.60796E-006
1,1,232,81.00000E+000,5.20700E-009,10.00050E-003,8.62055E-006
1,1,233,82.00000E+000,5.12500E-009,9.99960E-003,8.63140E-006
1,1,234,83.00000E+000,5.21100E-009,9.99990E-003,8.60535E-006
1,1,235,84.00000E+000,4.81100E-009,10.00030E-003,8.61736E-006
1,1,236,85.00000E+000,4.97900E-009,10.00000E-003,8.63411E-006
1,1,237,86.00000E+000,5.02800E-009,10.00130E-003,8.65161E-006
1,1,238,87.00000E+000,5.02300E-009,10.00020E-003,8.66917E-006
1,1,239,88.00000E+000,5.10500E-009,10.00060E-003,8.68153E-006
1,1,240,89.00000E+000,5.16200E-009,9.99990E-003,8.69389E-006
1,1,241,90.00000E+000,4.75400E-009,9.99960E-003,8.70569E-006
1,1,242,91.00000E+000,4.75600E-009,9.99990E-003,8.71817E-006
1,1,243,92.00000E+000,5.28300E-009,10.00000E-003,8.73229E-006
1,1,244,93.00000E+000,5.23400E-009,9.99910E-003,8.74554E-006
1,1,245,94.00000E+000,5.12700E-009,10.00010E-003,8.75509E-006
1,1,246,95.00000E+000,4.84000E-009,9.99950E-003,8.76528E-006
1,1,247,96.00000E+000,5.19900E-009,10.00030E-003,8.77684E-006
1,1,248,97.00000E+000,5.32900E-009,10.00010E-003,8.79051E-006
1,1,249,98.00000E+000,5.25300E-009,10.00000E-003,8.80276E-006
1,1,250,99.00000E+000,5.44000E-009,10.00130E-003,8.80918E-006
1,1,251,100.00000E+000,5.38800E-009,10.00080E-003,8.81807E-006
1,1,252,101.00000E+000,5.29400E-009,10.00050E-003,8.82665E-006
1,1,253,102.00000E+000,5.18300E-009,10.00030E-003,8.83926E-006
1,1,254,103.00000E+000,4.87900E-009,9.99870E-003,8.85134E-006
1,1,255,104.00000E+000,5.46000E-009,10.00010E-003,8.85738E-006
1,1,256,105.00000E+000,5.36200E-009,9.99990E-003,8.86585E-006
1,1,257,106.00000E+000,5.44600E-009,10.00030E-003,8.87471E-006
1,1,258,107.00000E+000,5.42200E-009,10.00040E-003,8.88731E-006
1,1,259,108.00000E+000,5.40600E-009,9.99990E-003,8.89661E-006
1,1,260,109.00000E+000,5.52200E-009,10.00080E-003,8.90305E-006
1,1,261,110.00000E+000,5.68300E-009,10.00130E-003,8.91092E-006
1,1,262,111.00000E+000,6.00500E-009,9.99920E-003,8.92172E-006
1,1,263,112.00000E+000,5.54000E-009,10.00090E-003,8.93284E-006
1,1,264,113.00000E+000,5.52100E-009,10.00010E-003,8.93846E-006
1,1,265,114.00000E+000,5.47900E-009,10.00010E-003,8.94694E-006
1,1,266,115.00000E+000,5.53200E-009,10.00010E-003,8.95385E-006
1,1,267,116.00000E+000,5.45600E-009,10.00030E-003,8.91554E-006
1,1,268,117.00000E+000,5.12900E-009,9.99980E-003,8.92514E-006
1,1,269,118.00000E+000,5.28900E-009,9.99980E-003,8.93918E-006
1,1,270,119.00000E+000,7.07800E-009,10.00090E-003,8.95322E-006
1,1,271,120.00000E+000,5.20500E-009,9.99980E-003,8.96600E-006
